seat,bustypes,busnames,routetimes,starratings,tickets,reaching, duration
Seats available,VE A/C Seater (2+2),Shyamoli Paribahan Pvt Ltd,23:30,4.6,"Starts from
INR 300",04:30,05h 00m
Seats available,VE A/C Seater (2+2),Shyamoli Paribahan Pvt Ltd,23:30,4.6,"Starts from
INR 300",04:30,05h 00m
Seats available,VE A/C Seater (2+2),Shyamoli Paribahan Pvt Ltd,23:30,4.6,"Starts from
INR 300",04:30,05h 00m
Seats available,VE A/C Seater (2+2),Shyamoli Paribahan Pvt Ltd,23:30,4.6,"Starts from
INR 300",04:30,05h 00m
Seats available,VE A/C Seater (2+2),Shyamoli Paribahan Pvt Ltd,23:30,4.6,"Starts from
INR 300",04:30,05h 00m
Seats available,A/C Seater / Sleeper (2+1),The Joy Ride,20:00,3.6,"Starts from
INR 600",02:55,06h 55m
Seats available,A/C Seater / Sleeper (2+1),The Joy Ride,20:00,3.6,"Starts from
INR 600",02:55,06h 55m
Seats available,A/C Seater (2+3),Snemita Paribahan(Shinjini),22:45,3.1,INR 470,04:10,05h 25m
Seats available,A/C Seater (2+3),Snemita Paribahan(Shinjini),22:45,3.1,INR 470,04:10,05h 25m
Seats available,A/C Seater (2+3),Snemita Paribahan(Shinjini),22:45,3.1,INR 470,04:10,05h 25m
Seats available,A/C Seater (2+3),Snemita Paribahan(Shinjini),22:45,3.1,INR 470,04:10,05h 25m
Seats available,A/C Seater (2+3),Snemita Paribahan(Shinjini),22:45,3.1,INR 470,04:10,05h 25m
Seats available,A/C Seater (2+3),Snemita Paribahan(Shinjini),22:45,3.1,INR 470,04:10,05h 25m
Seats available,A/C Seater (2+3),Snemita Paribahan(Shinjini),22:45,3.1,INR 470,04:10,05h 25m
Seats available,A/C Seater (2+3),Snemita Paribahan(Shinjini),22:45,3.1,INR 470,04:10,05h 25m
Seats available,A/C Seater (2+3),Snemita Paribahan(Shinjini),22:45,3.1,INR 470,04:10,05h 25m
Seats available,A/C Seater (2+3),Snemita Paribahan(Shinjini),22:45,3.1,INR 470,04:10,05h 25m
Seats available,A/C Seater / Sleeper (2+2),SANTOSH BUS SERVICE,22:35,2.3,"Starts from
INR 549 467",05:30,06h 55m
Seats available,A/C Seater / Sleeper (2+2),SANTOSH BUS SERVICE,22:35,3.5,"Starts from
INR 349 297",04:35,06h 00m
Seats available,Non AC Seater (2+3),SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,18:30,3.4,INR 150,22:00,03h 30m
Seats available,Non AC Seater (2+3),SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,18:30,3.4,INR 150,22:00,03h 30m
Seats available,Non AC Seater (2+3),SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,18:30,3.4,INR 150,22:00,03h 30m
Seats available,Non AC Seater (2+3),SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,18:30,3.4,INR 150,22:00,03h 30m
Seats available,Non AC Seater (2+3),SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,18:30,3.4,INR 150,22:00,03h 30m
Seats available,Non AC Seater (2+3),SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,18:30,3.4,INR 150,22:00,03h 30m
Seats available,Non AC Seater (2+3),SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,18:30,3.4,INR 150,22:00,03h 30m
Seats available,Non AC Seater (2+3),SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,18:30,3.4,INR 150,22:00,03h 30m
Seats available,Non AC Seater (2+3),SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,18:30,3.4,INR 150,22:00,03h 30m
Seats available,Non AC Seater (2+3),SBSTC-KOLKATA - DURGAPUR - 18:30 (DGP DEPOT) - 176,18:30,3.4,INR 150,22:00,03h 30m
Seats available,Non AC Seater (2+3),SBSTC-KOLKATA - SURI - 18:00 - (Suri Depot) - 1205,18:00,4.0,INR 190,23:00,05h 00m
Seats available,Volvo Multi-Axle A/C seater/sleeper (2+1),Shyamoli Paribahan Pvt Ltd,20:30,4.3,"Starts from
INR 1299",09:45,13h 15m
Seats available,Volvo Multi-Axle A/C seater/sleeper (2+1),Shyamoli Paribahan Pvt Ltd,20:30,4.3,"Starts from
INR 1299",09:45,13h 15m
Seats available,Volvo Multi-Axle A/C seater/sleeper (2+1),Shyamoli Paribahan Pvt Ltd,20:30,4.3,"Starts from
INR 1299",09:45,13h 15m
Seats available,Volvo Multi-Axle A/C seater/sleeper (2+1),Shyamoli Paribahan Pvt Ltd,20:30,4.3,"Starts from
INR 1299",09:45,13h 15m
Seats available,Volvo Multi-Axle A/C seater/sleeper (2+1),Shyamoli Paribahan Pvt Ltd,20:30,4.3,"Starts from
INR 1299",09:45,13h 15m
Seats available,Volvo Multi-Axle A/C seater/sleeper (2+1),Shyamoli Paribahan Pvt Ltd,20:30,4.3,"Starts from
INR 1299",09:45,13h 15m
Seats available,Volvo Multi-Axle A/C seater/sleeper (2+1),Shyamoli Paribahan Pvt Ltd,20:30,4.3,"Starts from
INR 1299",09:45,13h 15m
Seats available,Volvo Multi-Axle A/C seater/sleeper (2+1),Shyamoli Paribahan Pvt Ltd,20:30,4.3,"Starts from
INR 1299",09:45,13h 15m
Seats available,Volvo Multi-Axle A/C seater/sleeper (2+1),Shyamoli Paribahan Pvt Ltd,20:30,4.3,"Starts from
INR 1299",09:45,13h 15m
Seats available,Volvo Multi-Axle A/C seater/sleeper (2+1),Shyamoli Paribahan Pvt Ltd,20:30,4.3,"Starts from
INR 1299",09:45,13h 15m
Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Greenline (Karunamoyee),17:30,4.0,INR 524,21:45,04h 15m
Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Greenline (Karunamoyee),17:30,4.0,INR 524,21:45,04h 15m
Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Greenline (Karunamoyee),17:30,4.0,INR 524,21:45,04h 15m
Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Greenline (Karunamoyee),17:30,4.0,INR 524,21:45,04h 15m
Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Greenline (Karunamoyee),17:30,4.0,INR 524,21:45,04h 15m
Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Greenline (Karunamoyee),17:30,4.0,INR 524,21:45,04h 15m
Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Greenline (Karunamoyee),17:30,4.0,INR 524,21:45,04h 15m
Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Greenline (Karunamoyee),17:30,4.0,INR 524,21:45,04h 15m
Seats available,Volvo A/C B11R Multi Axle Semi Sleeper (2+2),Greenline (Karunamoyee),17:30,4.0,INR 524,21:45,04h 15m
